source,exercise_id,exercise_name,equipment,body_part,frame_idx,form_label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,torso_lean_angle,elbow_symmetry_delta,knee_symmetry_delta,avg_visibility
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,0,,172.2877125794218,42.63819974411183,16.810884727012652,14.352311167051615,179.8056403646096,170.42343870425682,176.7480303753799,166.3961988630156,5.475756240946166,129.64951283530996,10.3518315123643,0.8529606014490128
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,1,,177.54683070183802,34.32639704215274,20.021494783306846,1.9995608256727948,176.73345633346906,168.28417541641528,176.00710805048476,171.64113752050636,4.63232114556469,143.22043365968528,4.365970529978398,0.8918941716353098
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,2,,168.56596934514872,42.53161349519174,15.805119234551672,1.4180834273346796,172.86591880970204,172.78095995948757,175.3992330978287,167.09032166429978,2.9537935378695472,126.03435584995697,8.30891143352892,0.8705523411432902
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,3,,166.2852283875444,73.67627968124557,13.587487779320398,0.8918894992248844,176.5829318361768,170.9027338738656,177.3851711804553,169.16222746991915,3.5000271998335677,92.60894870629883,8.222943710536157,0.8716681363681952
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,4,,124.56363567288551,84.71305062959149,47.377629862249954,2.1300407621858235,177.02727363426686,171.45713727854098,178.1216466276814,169.9409990661952,2.427526986184605,39.85058504329402,8.18064756148621,0.9108817527691523
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,5,,144.20396335381477,98.71480125645466,30.439917929731227,0.3011883659041563,177.1509238036271,172.7922701670579,177.57142317011997,170.61196585089812,2.2899873247448714,45.48916209736011,6.959457319221855,0.868219414105018
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,6,,147.4983012498408,107.56738896155993,6.310886445642553,6.260850778943917,175.5594511803597,174.21270729699273,172.92500126691627,168.70122308076853,2.9349277115418766,39.93091228828088,4.22377818614774,0.8308957864840826
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,7,,122.01723007109942,92.81389641205075,38.68348232769996,6.934668565275908,176.747845475,172.18220232672624,177.41827218437896,170.23226880043478,2.5294909618119625,29.203333659048667,7.186003383944183,0.8843115841348966
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,8,,124.56363567288551,84.71305062959149,47.377629862249954,2.1300407621858235,177.02727363426686,171.45713727854098,178.1216466276814,169.9409990661952,2.427526986184605,39.85058504329402,8.18064756148621,0.9108817527691523
exercisedb,3eGE2JC,dumbbell front raise,dumbbell,shoulders,9,,172.88202455650395,69.67806844538866,13.048447059940894,0.07049413360587516,176.14612424004378,171.5159082466721,176.83813415279076,168.19009549430035,3.397711970198947,103.20395611111529,8.648038658490407,0.8652590649823347
