source,exercise_id,exercise_name,equipment,body_part,frame_idx,form_label,left_elbow_angle,right_elbow_angle,left_shoulder_angle,right_shoulder_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,torso_lean_angle,elbow_symmetry_delta,knee_symmetry_delta,avg_visibility
exercise_correction,,bicepcurl,dumbbell,,,C,162.55131838287556,150.51124668669019,0.2472933921818477,2.1723137886732453,,,,,1.8139037436089849,12.040071696185379,,0.6801492209779099
exercise_correction,,bicepcurl,dumbbell,,,C,152.70707702434055,120.89841914150648,0.36650679990662066,0.3034560106509812,,,,,1.1103021167278126,31.80865788283407,,0.6903822526801378
exercise_correction,,bicepcurl,dumbbell,,,C,158.00642778714948,110.82154861241426,0.5906308058752886,2.0871139720510636,,,,,0.4028958461714119,47.184879174735215,,0.6917984378524125
exercise_correction,,bicepcurl,dumbbell,,,C,159.13887596000967,96.32191845828399,1.1476669686019654,2.8262640708647893,,,,,0.05283025283656411,62.81695750172568,,0.6928898717742413
exercise_correction,,bicepcurl,dumbbell,,,C,120.0522123234357,70.37649838102426,4.162586143679601,6.774268381680965,,,,,0.23353854566434434,49.675713942411434,,0.6971372206462547
exercise_correction,,bicepcurl,dumbbell,,,C,61.08152240876263,66.30907684397732,7.206065037822495,8.141055402312233,,,,,0.059017481771763115,5.227554435214692,,0.7011779258027673
exercise_correction,,bicepcurl,dumbbell,,,C,57.22888170619804,57.080361235229496,8.755777699448473,11.457238082594804,,,,,0.3120840438385151,0.14852047096854193,,0.7099652651231736
exercise_correction,,bicepcurl,dumbbell,,,C,45.495817139809795,51.87948701914666,11.341423875365805,12.160630706858026,,,,,0.43993605863538476,6.383669879336864,,0.7127749817445874
exercise_correction,,bicepcurl,dumbbell,,,C,39.996744624411626,42.81135148970069,10.493178487357099,13.604310959057408,,,,,0.21854792741131338,2.814606865289065,,0.7197867524810135
exercise_correction,,bicepcurl,dumbbell,,,C,44.90464055334919,41.560896671400954,8.664360046996844,13.207851111272355,,,,,0.8359939572602153,3.3437438819482352,,0.7211562043521553
exercise_correction,,bicepcurl,dumbbell,,,C,38.28914001087996,39.036078582421595,8.899794463579209,13.918343980667759,,,,,0.5029849134916675,0.7469385715416337,,0.722839603666216
exercise_correction,,bicepcurl,dumbbell,,,C,37.798504602616546,38.01285553592725,12.048446727934365,13.677277150208102,,,,,0.32532761511092556,0.21435093331070476,,0.7233584695495665
exercise_correction,,bicepcurl,dumbbell,,,C,38.35984312915218,36.91832425515557,13.853924139178819,13.201876478872142,,,,,0.25055383981594564,1.441518873996614,,0.7235086187720299
exercise_correction,,bicepcurl,dumbbell,,,C,39.37599674264166,35.44414983684952,14.847322334956841,12.986374938490885,,,,,0.22681234514567908,3.931846905792142,,0.7242899481207132
exercise_correction,,bicepcurl,dumbbell,,,C,36.73582612170853,33.01137204856218,14.604964927066277,12.563038577648532,,,,,0.22657872218998903,3.7244540731463474,,0.7250717394053936
exercise_correction,,bicepcurl,dumbbell,,,C,37.55789504079303,33.332747556759784,14.512248549795776,12.430669065613515,,,,,0.20888312195993516,4.2251474840332435,,0.7245842083357275
exercise_correction,,bicepcurl,dumbbell,,,C,37.109478537829666,31.922839317196402,14.171572629024944,12.103886170507334,,,,,0.1922639196347279,5.186639220633264,,0.7215862586162984
exercise_correction,,bicepcurl,dumbbell,,,C,36.08398048512759,32.128241056393456,13.776116018447592,11.625855575220061,,,,,0.20118097317387304,3.955739428734134,,0.7210274869576097
exercise_correction,,bicepcurl,dumbbell,,,C,33.779971774255095,32.87335011116796,13.539310764810347,10.899397344100231,,,,,0.1697402732703853,0.9066216630871367,,0.7212426550686359
exercise_correction,,bicepcurl,dumbbell,,,C,37.18689588935913,34.37708899470291,8.00350110211798,9.880798583457198,,,,,0.1956729709739581,2.8098068946562194,,0.723029584158212
exercise_correction,,bicepcurl,dumbbell,,,C,44.35456387373593,35.12543513170215,7.000052793824256,9.622201876161563,,,,,0.28647756497962495,9.22912874203378,,0.723958688788116
exercise_correction,,bicepcurl,dumbbell,,,C,45.93434707205139,35.18178858042915,6.4392028722188055,9.356591785325728,,,,,0.21599326443707587,10.752558491622239,,0.7263854956254363
exercise_correction,,bicepcurl,dumbbell,,,C,36.884416280131234,35.45620442243146,6.389780487613557,9.158989699576583,,,,,0.2722372449723271,1.4282118576997718,,0.7284281756728888
exercise_correction,,bicepcurl,dumbbell,,,C,29.62556713469434,35.369424785074806,6.394270852965213,8.938886971615771,,,,,0.32953644504974156,5.743857650380466,,0.7313788440078497
exercise_correction,,bicepcurl,dumbbell,,,C,29.118113037665058,35.484289100547706,6.338870317978796,8.976309214535279,,,,,0.3718891514240784,6.366176062882648,,0.733022678643465
exercise_correction,,bicepcurl,dumbbell,,,C,30.362356799369167,36.936333153673026,6.703258004965392,9.075706245822204,,,,,0.6587702543995065,6.573976354303859,,0.7362991138361394
exercise_correction,,bicepcurl,dumbbell,,,C,31.938249062203592,37.873901125991466,6.353658683869676,9.108698188753724,,,,,0.8937559690674173,5.935652063787874,,0.7379653938114643
exercise_correction,,bicepcurl,dumbbell,,,C,35.99383179525781,40.221589423667666,6.339487061152755,8.664959861040273,,,,,1.0325966473744304,4.227757628409854,,0.7395328995771706
exercise_correction,,bicepcurl,dumbbell,,,C,37.41687311381412,42.20030840059652,6.331645151669997,8.382100044725075,,,,,1.0886087160984854,4.7834352867823995,,0.7399350749328732
exercise_correction,,bicepcurl,dumbbell,,,C,44.08068182137005,44.085536086497235,6.515083804404712,7.723146028465987,,,,,1.0108792493674865,0.004854265127185897,,0.7404129761271179
exercise_correction,,bicepcurl,dumbbell,,,C,59.672346781809914,46.429248414734715,6.687385562261114,7.231848520524417,,,,,0.9865378982309929,13.243098367075198,,0.7394926464185119
exercise_correction,,bicepcurl,dumbbell,,,C,59.93093207059049,50.951859142951264,5.462548463523925,5.96324684894157,,,,,1.635041093712745,8.979072927639223,,0.7362631349824369
exercise_correction,,bicepcurl,dumbbell,,,C,61.40046555370992,52.90771176447137,4.340412064267518,5.617315081255273,,,,,1.9407394363422215,8.492753789238549,,0.7333470918238163
exercise_correction,,bicepcurl,dumbbell,,,C,68.67169731358462,59.2289599983568,4.165610161925178,4.836502483912424,,,,,1.5686948335466948,9.442737315227816,,0.7303708107210696
exercise_correction,,bicepcurl,dumbbell,,,C,67.81004164210009,62.59289405315165,4.591930311804937,4.5119956247933395,,,,,1.0726682424336813,5.2171475889484356,,0.7285630409605801
exercise_correction,,bicepcurl,dumbbell,,,C,68.90278490253037,64.77356798945064,4.565967143476286,3.755036861570627,,,,,0.5768560008044158,4.1292169130797305,,0.7236669831909239
